"New Root Blog category","New Root Blog category"
"New Blog category","New Blog category"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Paging","Paging"
"Pending","Pending"
"Please select blogs setting to delete.","Please select blogs setting to delete."
"Please select blogs setting.","Please select blogs setting."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select filters to delete.","Please select filters to delete."
"Please select filters.","Please select filters."
"Please select layout designs to delete.","Please select layout designs to delete."
"Please select layout designs.","Please select layout designs."
"Please select posts to delete.","Please select posts to delete."
"Please select posts.","Please select posts."
"Please select tags to delete.","Please select tags to delete."
"Please select tags.","Please select tags."
"Please select taxonomies to delete.","Please select taxonomies to delete."
"Please select taxonomies.","Please select taxonomies."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Post Comment","Post Comment"
"Post Comments","Post Comments"
"Post Information","Post Information"
"Post comment","Post comment"
"Post does not exist.","Post does not exist."
"Post was saved","Post was saved"
"Post was successfully deleted.","Post was successfully deleted."
"Post was successfully saved","Post was successfully saved"
"Post","Post"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Posts","Posts"
"Properties","Properties"
"Publish date","Publish date"
"Publishing status","Publishing status"
"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove filter from blog category","Remove filter from blog category"
"Remove post from tag","Remove post from tag"
"Remove post from taxonomy","Remove post from blog category"
"Remove blog category from blog","Remove blog category from blog"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Blog","Save Blog"
"Save Filter","Save Filter"
"Save Layout Design","Save Layout Design"
"Save Post Attribute","Save Post Attribute"
"Save Post comment","Save Post comment"
"Save Post","Save Post"
"Save Tag","Save Tag"
"Save Blog category","Save Blog category"
"Scope","Scope"
"Select Blog category","Select Blog category"
"Short content","Short content"
"Slug","Slug"
"Small Image","Small Image"
"Sorts","Sorts"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Tag was saved","Tag was saved"
"Tag was successfully deleted.","Tag was successfully deleted."
"Tag was successfully saved","Tag was successfully saved"
"Tag","Tag"
"Tags","Tags"
"Taxonomies","Taxonomies"
"Blog category does not exist.","Blog category does not exist."
"Blog category move error","Blog category move error"
"Blog category move operation is not possible: parent taxonomy is equal to child blog category.","Blog category move operation is not possible: parent blog category is equal to child blog category."
"Blog category move operation is not possible: the current taxonomy was not found.","Blog category move operation is not possible: the current blog category was not found."
"Blog category move operation is not possible: the new parent blog category was not found.","Blog category move operation is not possible: the new parent blog category was not found."
"Blog category subtree widget","Blog category subtree widget"
"Blog category subtree","Blog category subtree"
"Blog category was saved","Blog category was saved"
"Blog category was successfully deleted.","Blog category was successfully deleted."
"Blog category was successfully saved","Blog category was successfully saved"
"Blog category","Blog category"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The blogs setting has been deleted.","The blogs setting has been deleted."
"The filters has been deleted.","The filters has been deleted."
"The layout designs has been deleted.","The layout designs has been deleted."
"The post attribute has been deleted.","The post attribute has been deleted."
"The post attribute has been saved.","The post attribute has been saved."
"The posts has been deleted.","The posts has been deleted."
"The tags has been deleted.","The tags has been deleted."
"The taxonomies has been deleted.","The taxonomies has been deleted."
"The taxonomy has been saved.","The blog category has been saved."
"There was a problem saving the blog.","There was a problem saving the blog."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the filter.","There was a problem saving the filter."
"There was a problem saving the layout design.","There was a problem saving the layout design."
"There was a problem saving the post.","There was a problem saving the post."
"There was a problem saving the tag.","There was a problem saving the tag."
"There was a problem saving the blog category.","There was a problem saving the blog category."
"There was an error deleting blog.","There was an error deleting blog."
"There was an error deleting blogs setting.","There was an error deleting blogs setting."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting filter.","There was an error deleting filter."
"There was an error deleting filters.","There was an error deleting filters."
"There was an error deleting layout design.","There was an error deleting layout design."
"There was an error deleting layout designs.","There was an error deleting layout designs."
"There was an error deleting post.","There was an error deleting post."
"There was an error deleting posts.","There was an error deleting posts."
"There was an error deleting tag.","There was an error deleting tag."
"There was an error deleting tags.","There was an error deleting tags."
"There was an error deleting taxonomies.","There was an error deleting taxonomies."
"There was an error deleting taxonomy.","There was an error deleting blog category."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating blogs setting.","There was an error updating blogs setting."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating filters.","There was an error updating filters."
"There was an error updating layout designs.","There was an error updating layout designs."
"There was an error updating posts.","There was an error updating posts."
"There was an error updating tags.","There was an error updating tags."
"There was an error updating taxonomies.","There was an error updating taxonomies."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This blog no longer exists.","This blog no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This filter no longer exists.","This filter no longer exists."
"This layout design no longer exists.","This layout design no longer exists."
"This post attribute cannot be edited.","This post attribute cannot be edited."
"This post attribute no longer exists","This post attribute no longer exists"
"This post does not allow comments","This post does not allow comments"
"This post no longer exists.","This post no longer exists."
"This tag no longer exists.","This tag no longer exists."
"This blog category no longer exists.","This blog category no longer exists."
"Title","Title"
"Total of %d blogs setting were successfully deleted.","Total of %d blogs setting were successfully deleted."
"Total of %d blogs setting were successfully updated.","Total of %d blogs setting were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d filters were successfully deleted.","Total of %d filters were successfully deleted."
"Total of %d filters were successfully updated.","Total of %d filters were successfully updated."
